Region Code,Local Authority,Pupils whose first language is English(8),Pupils whose first language is other than English(9),All pupils(10),Pupils known to be eligible for free school meals,All other pupils(8),All pupils,Disadvantaged pupils(1),All other pupils(9),All pupils,Pupils with no identified SEN,SEN support,SEN with a statement or EHC plan,All pupils(9),Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil3,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass5,Percentage of pupils who achieved a standard 9-4 pass 5,Overall absence,Percentage of persistent absentees
E92000001,England9,442204,81018,524932,68960,455972,524932,143053,381879,524932,449420,54584,19707,524932,587640,44.6,89.6,39.6,59.1,4.6,10.5
,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,23763,1300,25177,4325,20852,25177,8177,17000,25177,21319,2592,1158,25177,25177,44.6,96.2,38,59.9,4.7,11.2
E06000047,County Durham,4490,77,4608,774,3834,4608,1524,3084,4608,3959,395,213,4608,4608,44.6,95.9,34.7,58.2,4.9,12.5
E06000005,Darlington,1007,57,1066,175,891,1066,347,719,1066,875,147,42,1066,1066,45.3,95.8,44,63.1,4.7,11
E08000037,Gateshead,1828,81,1909,286,1623,1909,566,1343,1909,1669,144,96,1909,1909,46.8,96.5,40.1,62.4,4.4,10
E06000001,Hartlepool,941,35,976,185,791,976,378,598,976,855,85,36,976,976,44,96.5,37.6,59.5,4.9,11.8
E06000002,Middlesbrough,1131,215,1386,339,1047,1386,603,783,1386,1064,207,78,1386,1386,43.2,93.6,37,58.4,5.5,15.1
E08000021,Newcastle upon Tyne,1958,387,2362,549,1813,2362,916,1446,2362,1994,267,84,2362,2362,43.3,96.2,35.4,56.4,4.7,11.9
E08000022,North Tyneside,1875,84,1959,233,1726,1959,513,1446,1959,1731,134,94,1959,1959,47,96.7,44,65,4.3,9.7
E06000057,Northumberland,3100,44,3145,361,2784,3145,749,2396,3145,2745,255,144,3145,3145,44.7,96.6,39.3,60.8,4.6,10.2
E06000003,Redcar and Cleveland,1561,23,1584,252,1332,1584,507,1077,1584,1307,192,84,1584,1584,44,96.5,41.7,60.5,4.9,11.2
E08000023,South Tyneside,1429,63,1500,292,1208,1500,570,930,1500,1177,227,88,1500,1500,43,96.1,35.1,59,4.8,11.3
E06000004,Stockton-on-Tees,1816,96,1913,319,1594,1913,576,1337,1913,1633,197,83,1913,1913,45.6,95.8,41.6,63.6,4.7,10.7
E08000024,Sunderland,2627,138,2769,560,2209,2769,928,1841,2769,2310,342,116,2769,2769,43.8,96.9,34.1,56.6,4.8,11.5
,,,,,,,,,,,,,,,,,,,,,
E12000002,North West,63982,8136,72289,10941,61348,72289,21797,50492,72289,62854,6537,2759,72289,72289,45.6,97.2,40.3,62.7,4.6,10.8
E06000008,Blackburn with Darwen,1174,572,1746,262,1484,1746,541,1205,1746,1506,200,40,1746,1746,46.4,97.7,41.9,65.3,4.6,11.5
E06000009,Blackpool,1126,64,1190,274,916,1190,498,692,1190,1009,138,43,1190,1190,38.8,96.3,27.1,48.2,4.7,12.6
E08000001,Bolton,2503,758,3263,535,2728,3263,1076,2187,3263,2823,309,131,3263,3263,43.7,97.2,38.8,61.5,4.5,10.6
E08000002,Bury,1828,292,2120,292,1828,2120,529,1591,2120,1879,153,88,2120,2120,46,96.9,38,63.2,4.3,9.3
E06000049,Cheshire East,3417,165,3582,268,3314,3582,596,2986,3582,3312,163,107,3582,3582,48.9,98.5,46.9,70.9,4.2,9
E06000050,Cheshire West and Chester,3218,109,3328,349,2979,3328,732,2596,3328,2822,369,136,3328,3328,46.5,97.5,39.8,63.2,4.6,10.2
E10000006,Cumbria,4794,110,4915,382,4533,4915,928,3987,4915,4204,523,187,4915,4915,46.3,98,42.2,66.1,4.7,10.6
E06000006,Halton,1372,23,1395,298,1097,1395,572,823,1395,1216,138,41,1395,1395,44.9,97.4,30.5,55,4.8,11.7
E08000011,Knowsley,964,14,978,291,687,978,501,477,978,819,96,63,978,978,37.6,95.4,24.6,47.5,5.5,14.9
E10000017,Lancashire,11110,963,12078,1439,10639,12078,2939,9139,12078,10868,781,428,12078,12078,45.7,97,42.8,64.8,4.3,9.6
E08000012,Liverpool,4026,439,4467,1095,3372,4467,1892,2575,4467,3691,611,165,4467,4467,44.2,95.7,37.3,58.1,5.3,14.3
E08000003,Manchester,2928,1637,4574,1174,3400,4574,2379,2195,4574,3906,447,215,4574,4574,43.4,96,34.9,54.3,4.5,10.7
E08000004,Oldham,2040,878,2918,525,2393,2918,1052,1866,2918,2571,256,91,2918,2918,43.6,97.2,37,59.2,5,12
E08000005,Rochdale,1643,592,2238,445,1793,2238,876,1362,2238,1949,178,110,2238,2238,42.5,97.4,33.6,56.4,4.6,10.6
E08000006,Salford,1795,260,2057,385,1672,2057,794,1263,2057,1671,271,115,2057,2057,41.7,95.2,31.9,54.2,4.8,12
E08000014,Sefton,2848,98,3013,494,2519,3013,876,2137,3013,2639,175,132,3013,3013,44.9,96.2,37.2,60,5,12.2
